frame,<x>,<y>,<x^2>,<y^2>,msd,N,lagt
1,30.85299896272611,-78.2255251976193,1831260244.1689863,1907203807.3616536,3738120505.8541527,78780.55896970264,60.00000000000001
2,64.20487748817283,-1653.6220620522104,4198158740.675236,4269789645.4176545,8467948386.09289,48018.94447930738,120.0
3,53.0447687162391,-4519.408662414975,6816779771.597613,6862669072.366101,13625394782.18367,31186.54841794767,180.0
4,-40.64938425362489,-7648.872623244732,9520087841.685553,9535290311.109873,19055378152.795425,22255.270486260943,240.0
5,-336.99268760698567,-12339.96991878583,12267865875.257862,12344165874.970993,24609190370.437786,15326.681814961477,299.99999999999994
6,-551.2626193774107,-18031.202750548833,15084931361.89302,15306309708.712639,30373392742.27172,10848.75777353583,360.00000000000006
7,-649.1164332662775,-23536.8768532223,18094529955.678524,18391004321.286095,36415838891.52629,7761.889056392185,419.99999999999994
8,-823.2442445428252,-28884.958706837373,20923078536.28699,21333109255.197052,42172137691.451256,5654.583841802545,480.0
9,416.52926611648934,-35809.713824620434,23997692003.76167,24625108054.248356,48452302512.38104,4207.409246066105,540.0
10,-1202.7520579507207,-41226.810964876764,26585328205.242878,28211204515.415047,54663369822.18732,3177.0863010157427,600.0
11,-2835.2320442488253,-45147.37493090065,29538779566.00527,31372940109.34369,60814571797.07886,2358.040559038817,660.0
12,-738.3079118636546,-50877.997352531085,32297916264.561394,34660023302.16916,66866279142.956795,1787.637966623906,719.9999999999999
13,-1203.3216881594606,-58140.73817165229,35486601803.09753,37951673529.92811,73372996866.06296,1352.3201966849974,779.9999999999999
14,603.4218149569034,-62940.53525918973,38633075115.92369,40927182813.45234,79560257929.37602,1038.6517849177912,840.0
15,6890.36002197138,-65369.811717778764,41254942248.56207,43957685328.901054,85086573394.65623,789.1428086009861,900.0000000000001
16,6488.960746506515,-73018.81044684055,44466939944.938866,48058308913.20172,92354538066.8894,620.3031942712539,960.0000000000001
17,12418.104747401323,-80998.81692740618,49687128087.166855,54657451064.85854,103842922521.48682,471.76963271508896,1019.9999999999999
18,12745.369582561349,-85306.22413895628,53529481777.206024,58854460325.08094,112052426048.8879,377.0366559478071,1080.0000000000002
19,9534.910582921193,-98965.33979068096,56507645891.823906,61620595769.56556,118128241661.38947,297.34536082192227,1140.0
20,6980.046997777838,-89746.23149710137,55169578402.63198,60205834178.9613,114795636638.97221,220.25751006623653,1199.9999999999998
21,-3550.692829638557,-92267.23060325046,57430361394.96523,64080581488.17574,120736987832.92989,172.89018659428697,1259.9999999999998
22,3126.5448217898406,-112444.19650038668,62009637099.456726,72820307894.22235,134829944993.67908,135.06257362877406,1320.0
23,-12628.72575255807,-141619.86088414284,65269792482.84792,75940254533.35622,141210047016.20413,107.15564694101869,1380.0
24,-13774.791352277894,-132085.9067033515,68092711345.386314,77131548204.44946,145224259549.8358,84.09686493016706,1440.0
25,-23841.143234937805,-137303.43253915975,70962070044.5997,80240823960.41307,151202894005.01276,68.0045161666804,1499.9999999999998
26,-11596.67735335767,-155620.44818063275,82070136451.76974,82461278699.42406,164531415151.19382,57.416719139477344,1559.9999999999998
27,18463.30220723443,-137644.81828382573,90752046143.58524,73162737878.69125,163914784022.2765,43.37176509984886,1620.0
28,39423.13516867893,-167866.63044651854,100170554205.61293,79978275402.33968,180148829607.9526,32.6017483819473,1680.0000000000002
29,43668.29051020853,-165907.49621133096,96986382834.84521,82896597227.83998,179882980062.68518,28.82860067751266,1740.0
30,19044.20294238927,-176771.61357465357,89315704319.7651,88136974731.25677,177452679051.0219,26.066060512491106,1800.0
31,19361.28175725011,-164495.3666903307,93095083978.69168,86468173684.09473,179563257662.7864,21.74859965860365,1860.0000000000005
32,97119.36617948291,-162329.5899030498,68075823469.8018,90695727176.5193,158771550646.32114,17.532213748137586,1920.0
33,130076.27349304434,-215156.2862212714,83420192267.42004,87258363942.08759,170678556209.5076,14.162458267796573,1980.0000000000005
34,165896.1178468055,-168014.5625533671,96941260360.92484,56286123535.01234,153227383895.93716,9.354138591156921,2040.0000000000002
35,97751.0705859436,-233421.3300801355,81415377840.39589,62080242448.847176,143495620289.2431,7.333721451632554,2100.0
36,38562.499645643366,-235299.06991355165,59802182563.45159,61058001523.637856,120860184087.08945,5.205123183236374,2160.0
37,40698.75482149999,-224569.28046669177,75357592925.39407,54007179955.39614,129364772880.79022,4.238389379329202,2220.0
38,21322.318514596915,-255702.77505253893,92671773581.53407,70382160645.22418,163053934226.75827,3.194283442088174,2280.0
39,19655.13879070212,-297133.4555641714,85344364069.7227,96897613256.27025,182241977325.99295,3.1231707158717583,2340.0000000000005
40,-57506.0969624805,-258383.28983322458,98901372092.31035,72274568569.86232,171175940662.17267,2.0813795189835123,2400.0
41,-75952.5757159197,-264444.9209850391,84390736647.18091,77961754036.19644,162352490683.37735,2.041444127153482,2460.0000000000005
42,-61018.89891829364,-259766.8081083616,74300451800.63101,76173177472.54668,150473629273.17767,2.001636099749307,2520.0000000000005
43,-11561.815950244843,-251624.24722183362,58714905084.2253,72447582765.29688,131162487849.52217,1.9545454545454546,2580.0
