frame,<x>,<y>,<x^2>,<y^2>,msd,N,lagt
1,-57.77120894624039,19570.93094624602,1960724304.6249995,2486069264.083018,4446393964.684949,78298.30605178858,60.0
2,-66.7909443160271,37720.768106484866,4487752144.380859,6103960557.828153,10586953665.229227,47639.94021202671,119.99999999999999
3,-111.23637602549657,54888.062791356744,7234635286.466466,10469999370.535963,17594855739.736687,30893.67206847045,179.99999999999997
4,-124.88453215916616,71400.13622582828,10057444933.878988,15407210403.785244,25464655337.664234,22031.388056435957,239.99999999999997
5,-60.44545193421702,85375.8781243962,12911229898.644566,20495854265.245613,33387875858.828144,14982.115688137892,300.00000000000006
6,-112.83780523694223,99521.73606447114,15777654228.798933,26034079205.192696,41744374168.061066,10560.329964504735,360.0
7,924.6432894743382,113973.60785796268,18972731353.640217,32099721658.211494,50957640453.56355,7602.748203131123,420.00000000000006
8,1602.6560994887122,129665.53143629308,21960103402.82395,38860499171.88643,60716406730.847694,5508.432459514663,480.0
9,1750.059516067945,144246.18000550824,25120117884.22276,45838845724.92284,70822853065.13829,4041.694624068644,539.9999999999999
10,671.7554122428172,158585.4807474096,28205432186.875366,53660132040.35218,81728779658.761,2987.1184752972567,599.9999999999999
11,632.8053771413859,175295.45850452982,30865795315.3088,61948762684.159225,92662069678.54886,2213.3761232745264,659.9999999999999
12,348.7994542936555,190056.48753636953,32962366409.45861,70653284489.18538,103320659721.70834,1662.1878165375215,720.0
13,1213.2462100391149,201796.37381309248,35892271130.03949,78680862842.43353,114253692149.12968,1245.4882404841771,780.0
14,7471.1664859477605,217246.3475768522,38198741994.19474,88103286584.10257,125541172984.45216,941.706463482666,840.0
15,9463.442551267426,229750.70211942846,38830624363.78391,96072545539.17496,134694664230.77502,720.4831023344403,899.9999999999998
16,12006.768829218005,244782.15179619845,43494576758.69467,105007190352.43152,148201763541.20474,544.2736343590495,960.0000000000001
17,10407.831076742457,262354.8940691516,45694140015.98171,116319921416.35939,161584315911.3004,410.9160383795043,1020.0
18,8102.915219971952,274612.33757305826,48586874522.20885,125947954532.41083,174534829054.61966,301.24048311650927,1079.9999999999998
19,14018.336737725787,293211.59818193427,51638239516.39303,138663370487.11017,190301610003.50317,234.28934823107517,1140.0
20,9304.159219174766,314102.16371442593,52537813373.14287,152497602143.41742,203822188205.8114,178.42629983361428,1200.0
21,19722.28964428377,326494.7095435955,53332179206.92441,162507246553.7575,214275371950.82187,142.8682672681625,1260.0
22,14993.469297312591,347762.62823992624,48225445152.998886,183670793594.43652,231896238747.43542,102.25311077090622,1320.0
23,18340.710683628058,359425.055865378,52654044253.42703,203270448354.2233,255924492607.6503,76.8010336866887,1380.0
24,20234.49735207124,370288.79813946784,57297867157.06462,225964126078.1836,283261993235.2482,58.59158212888547,1440.0
25,31096.002525349617,387577.0603206616,53424735371.866585,254187247041.60068,307611982413.4673,43.91571200362921,1500.0000000000002
26,26194.115581839294,380394.9661848292,58189359715.44108,263703947716.9709,321893307432.412,34.38579753946912,1559.9999999999998
27,27558.62632920536,419715.7715289812,61904508694.37946,295736046075.7373,357640554770.11676,30.044988927785955,1620.0
28,25034.655643187165,335224.9594501528,60526262205.286156,196867631007.7573,257393893213.04343,21.52225485294899,1679.9999999999995
29,21403.69322793496,411271.41984159505,67643448641.09085,249850366076.1814,317493814717.2722,17.28126874565031,1740.0
30,-23901.904650988956,375658.4676161076,43124097953.09016,234588690699.76172,277712788652.85187,11.382030294663792,1800.0000000000002
31,-13754.983803563855,317977.22854605404,54436520197.04002,189417513059.07755,243854033256.11755,9.189045523824328,1860.0000000000002
32,-59353.60578560966,341558.79306236946,38301677099.6798,197482177243.4912,235783854343.171,6.410037969622799,1920.0000000000002
33,-63925.69107875162,353236.87026948325,42895577731.4525,201341622765.96252,244237200497.41504,6.234148326605179,1979.9999999999998
34,-105912.05270522596,376609.70870939904,50701231675.91782,233189806598.7231,283891038274.6409,5.129244191824878,2039.9999999999998
35,-105623.68802665942,383354.64875958144,50257579356.20381,251975777601.9681,302233356958.1719,4.9998664950876375,2100.0
36,-144152.97219333868,366745.56257167424,53495876225.11933,289171437521.3118,342667313746.43115,3.961670366658618,2160.0
37,-164766.53579892885,405595.9881436076,58700772801.716,296584635018.0902,355285407819.8063,3.8735939733191183,2220.0
38,-151469.32471703985,410220.72087518213,62233129253.198296,317918784613.4518,380151913866.65,3.786669815805434,2280.0
39,-245448.8317991487,469928.31888164784,69665543158.30783,410817912461.4521,480483455619.75995,2.904600866022734,2340.0
40,-241230.62752255195,452414.59151121945,67269606354.58115,398634440873.3059,465904047227.887,2.8411999346086034,2400.0
41,-184076.42411565603,329698.67778692517,34520976484.53434,352564188518.90063,387085165003.43506,1.8967661616617972,2460.0
42,-184198.55010422194,776072.5234917036,34276753749.04027,602644847287.9269,636921601036.9672,1.0201892744479495,2520.0
43,-178143.73181011528,766228.7057456933,34778545440.77785,588837891472.0013,623616436912.7792,1.0007811298705291,2580.0
44,-163241.4423691295,738039.0882594828,26647768506.75383,544701695798.88855,571349464305.6423,0.9777777777777777,2640.0
