frame,<x>,<y>,<x^2>,<y^2>,msd,N,lagt
1,1128.1169953852432,15615.237486101767,1594307621.295378,2138368502.4400082,3732676123.7353864,145820.13158669454,60.0
2,2346.7532616798126,31021.656837055743,3061238914.3709617,4667950165.051417,7725299445.363413,90668.98461966778,120.0
3,3493.8748083096366,45865.82592041676,4545590987.914698,7717838429.077166,12213286439.568169,60021.407426147925,180.0
4,4463.045358781049,59965.39463241238,6060421587.392366,11163840673.823788,17223178769.84915,43305.9464712001,240.0
5,5744.600453996034,73590.62494843146,7634750125.561632,14987098616.55523,22615222541.547993,31546.57465633859,299.99999999999994
6,7024.121345373009,87109.88204452496,9285880603.27149,19325209796.028004,28564584221.047573,23797.663182651933,360.0
7,8004.785077881639,100514.0902816798,10965397823.06624,24113494257.926132,35022398646.33753,18368.399392479227,420.00000000000006
8,9346.584919956693,113647.04432846108,12647257840.22183,29163780523.29478,41731407770.27577,14415.668958537215,480.0
9,10561.008328477,126735.17739412762,14342958029.542133,34662032182.556755,48886838909.64453,11424.948254926454,540.0
10,11811.210703565761,139440.37619602235,16199244338.622684,40412920586.78294,56460415111.566376,9203.322035987345,600.0
11,12989.020129535533,152305.28215984456,17893273984.127632,46544346375.3307,64360695225.72241,7446.725303119688,659.9999999999999
12,15523.898925253498,163601.46729288876,19577735540.386326,52373952526.11848,71884222817.49731,6097.686111681497,719.9999999999999
13,16207.112284491994,175908.11330356947,21188431659.20728,58954524532.03058,80076976809.08261,5037.686988911281,779.9999999999999
14,18219.70363327901,187885.00701927347,22982529946.848778,66017048849.89007,88826371702.09712,4153.627221485322,839.9999999999999
15,19009.62099714242,198558.65783541035,24893615033.902756,72241955748.91397,97022182957.0002,3400.446679380505,900.0000000000001
16,19913.455532116317,208499.39967366628,26813369445.50793,78942851911.34077,105610618482.10315,2826.4012826601124,960.0000000000001
17,22298.999649850957,222041.966713293,28389018052.16695,86916347078.3316,114997226795.03491,2379.2222891808788,1019.9999999999999
18,24457.37436799106,229373.42963335462,29827562169.040768,92260045433.65523,121857108658.19753,1986.818972019662,1080.0
19,27540.662545558924,238171.36184907536,31688389715.47117,99109777605.38586,130798167320.85701,1670.6967601757008,1140.0
20,29259.442608135538,248677.81439851306,33686117620.234997,106352034151.43045,139918868848.52094,1422.4306342666846,1200.0000000000002
21,27302.46662433649,259275.05057398803,35293284798.04948,114424226793.77133,149421919268.83597,1208.2483299017758,1260.0
22,28257.198718308457,269906.15739551873,38016798921.56265,121791126883.3129,159807925804.87555,1044.825920913661,1320.0
23,31199.582565601504,281853.60144934454,39965047539.5914,130638478665.71213,170603526205.30353,877.8160532536949,1380.0000000000002
24,32569.673810183824,291382.0407333398,42481071527.697975,137739460159.90985,180220531687.60782,755.8028050720321,1440.0
25,36762.44454377565,299956.4814574677,45630612069.88255,143748182836.26883,189378794906.15137,634.1380466762079,1500.0
26,43620.00531944464,302985.3350175637,48159523710.76377,146518956998.89825,194678480709.66202,534.7930731191041,1560.0
27,51553.811240460724,313328.55942955986,49774653286.92926,155268253247.37955,205042906534.3088,460.3820542424546,1619.9999999999998
28,48136.31328479427,306317.1478413839,48816232629.33695,148445534656.93192,196713817932.6959,395.9747528780758,1680.0
29,43349.17312761351,314215.8959223005,50656042746.495186,155125719724.93228,205113639866.00073,335.9374996190128,1740.0
30,50646.55680104079,329416.7497649253,53381973976.69808,165441422496.15927,218823396472.85736,280.2814139246223,1800.0
31,46058.496461026436,337442.2370990711,55424662328.80516,172518117798.13275,227942780126.93793,233.14609441735467,1860.0
32,42011.34805535264,340602.6357224357,58497774617.55344,174180679899.52396,232678454517.0774,191.68873193173644,1919.9999999999998
33,49190.281995023586,358647.78563740704,63051262456.70735,187769187751.1713,249281674439.73212,173.53995228514583,1980.0000000000002
34,53718.984449745054,367596.65364850726,64970753461.71766,197808081108.8065,260915154892.71906,149.34126886694798,2040.0000000000002
35,42111.72474565766,372962.1859606832,69815323205.22128,199740357810.80377,267251786306.4864,123.63485960127406,2100.0
36,52489.88528192002,392716.3476181686,72218521053.04994,218054436879.64755,290272957932.69745,108.78970734791417,2160.0
37,51790.53693416417,402302.5284523931,61522718965.50798,233950999112.8483,291997556689.19916,88.79998205657837,2220.0
38,45148.67409123081,415076.0779551725,58716865913.89826,245944907653.39636,304661773567.2946,76.5152637641203,2280.0000000000005
39,45942.90747304795,434948.9675452905,62811607197.468956,271070942421.87494,333882549619.3439,66.73668588271995,2339.9999999999995
