frame,<x>,<y>,<x^2>,<y^2>,msd,N,lagt
1,4.368099119305568,-92.44353588959183,1779641196.0077803,1846831302.5071142,3626146053.965564,164593.0746120079,60.0
2,-27.349003942323705,-760.5423111303227,3596480204.7287617,3598618747.159712,7189269814.2012825,100678.8268405361,120.0
3,34.42802927967914,-2572.4615773820688,5458929995.138357,5424693503.186619,10836597309.836401,65604.82922108618,180.0
4,209.43351449638837,-5540.205587515378,7226019352.591392,7319144268.298073,14543854307.394018,46884.229646520755,239.99999999999997
5,341.14252455125614,-8541.304516817785,9019677529.98477,9257633126.14473,18258990598.672634,32598.863235715653,300.0
6,85.55004564503683,-11657.423796772611,10851807507.354765,11218908637.790419,22015756901.787277,23433.46482592754,359.99999999999994
7,173.43376174911464,-14966.121754957094,12596666915.20603,13172257232.637413,25700011393.47982,17229.98143246736,420.0
8,925.5481861959549,-17855.672281873834,14427356325.806753,15131369272.060995,29484270369.66153,12763.269747210865,479.99999999999994
9,929.9910103076394,-20810.461337981338,16309138080.831602,17207192063.4447,33402987615.95974,9494.908133059336,539.9999999999999
10,17.91317729175396,-25055.44890691951,18231668426.328663,19486611872.722076,37596346203.25639,7168.919568035338,600.0
11,-384.67670908761727,-28533.124786307442,20037063416.169697,21799442492.192966,41685130038.952034,5491.689320222661,660.0000000000001
12,-569.2516408122995,-32911.311132501854,21899508315.945183,24307400021.17678,46101292546.63711,4226.466197540609,719.9999999999999
13,-111.43033665628955,-33961.300063645656,23805359638.802826,25970144035.897247,49648986417.72007,3253.817152407039,780.0
14,-1036.536373554645,-36682.40894645305,25534341036.432693,28241331220.21971,53603156351.154434,2524.797211356386,839.9999999999999
15,-4040.4568703119876,-37688.604222282425,27841688997.033836,29613462618.607536,57222942573.31487,1966.5792417039752,900.0
16,-5495.927496495789,-42942.43067362356,30264131207.640633,31458610393.80527,61586888171.65549,1523.6781238577212,960.0
17,-8373.254493716939,-45276.32892848733,31770870505.811993,34032472115.621616,65564492013.00736,1208.6871991395167,1019.9999999999998
18,-11441.281919205565,-46461.46425168485,34601705890.17521,37019887458.34894,71621593348.52415,922.7975211718023,1080.0
19,-9580.613214347899,-52829.11126030227,34321288493.87683,40908579157.84389,75000857400.11731,710.3008710707946,1140.0
20,-10733.965374053709,-61395.34005668275,36651861310.18145,43789481979.50623,80441343289.68767,566.5724413123152,1200.0
21,-12833.391241761019,-69139.69797136035,39331387776.60759,46442006671.00823,85773394447.61583,450.45548400235106,1259.9999999999998
22,-20913.077193430378,-76535.83625515437,42222124988.94947,48726810148.862915,90685315035.96367,358.69088545093484,1320.0
23,-32288.311023409635,-80307.44162230389,46384111566.949524,54194566079.0684,100578677646.01793,268.8747129148674,1380.0000000000005
24,-38665.68604529071,-70396.59298294467,49046072863.886604,51401659195.64089,100447732059.5275,200.9663605605564,1440.0000000000002
25,-51277.66969613911,-74371.89910178365,51713229781.39007,53046484808.951744,104759714590.34181,159.5390089075964,1500.0
26,-49935.81434840899,-75065.73776866755,56285744773.25801,55424311615.1254,111710056388.3834,132.44120485215643,1559.9999999999998
27,-75675.11198935602,-83299.12079788618,60860335003.74985,62699872298.2862,123560207302.03603,97.36383567976678,1619.9999999999998
28,-93931.99947880948,-90014.03378307678,68663003971.45926,65440660856.948395,134103664828.40762,77.13159554039868,1679.9999999999998
29,-107590.7937450204,-91846.75992658052,79965012029.6365,76587693025.55148,156552705055.18796,59.317467293760714,1739.9999999999998
30,-130302.21351066614,-82391.35620932891,88367038218.66183,78840572831.82254,167207611050.48438,49.043651877941876,1800.0000000000002
31,-101172.95776989305,-77402.8291260577,89736631020.41605,82115019912.5298,171851650932.94586,37.89261220754732,1860.0
32,-134604.025179825,-86077.44801534757,96226646106.5985,86704196241.07826,182930842347.67673,28.8382127318014,1920.0
33,-141413.19257359946,-97514.43406124326,104160715148.3549,91267385295.0604,195428100443.41528,24.636215197156837,1980.0
34,-114314.26085038931,-70847.94459074696,93816201723.1906,84042066607.56169,177858268330.7523,17.170408046066637,2039.9999999999998
35,-114334.9260931379,-8314.328272651812,116321641753.78252,78329312895.68661,194650954649.46912,11.69116214893301,2100.0
36,-77325.09639914155,6746.669861464908,92803822541.63976,57902579252.5323,150706401794.17206,7.829481709064986,2160.0
37,-75011.71306551971,-88162.7525002566,125957015111.66116,60076797466.51263,186033812578.17377,5.857572990948425,2220.0
38,-80325.40130876169,-96682.71868248284,120976300081.20552,66820544895.80962,187796844977.01514,5.721771823137439,2280.0
39,-27319.48662399805,-41578.87980299564,45371702116.044136,82172342924.05038,127544045040.09454,3.768943853081458,2340.0
40,-26127.116357606195,-49230.457211254245,48748179282.58834,87426132657.67093,136174311940.25926,3.6837300325601765,2400.0
41,-152194.7648208072,-12351.618552949443,63475236944.783844,131802682399.75246,195277919344.53632,1.9132703849861485,2459.9999999999995
42,-142819.16038021364,-18353.912685058356,61616529854.00973,139977862750.7661,201594392604.77585,1.8722064260620974,2520.0
43,68777.47030025441,-407744.4479488912,5199774174.7937565,166497707656.33026,171697481831.12402,0.9248609213351553,2580.0
44,63071.15190008655,-425634.5120954302,4942628980.869485,181238524894.7134,186181153875.5829,0.9084185736593406,2640.0
45,52010.01277005207,-439081.2332383832,5248414706.398402,192922424572.13763,198170839278.53604,0.8919411066408117,2700.0
46,27691.798046924174,-441070.57018203294,766835679.0716333,194543247880.70358,195310083559.7752,0.8723404255319149,2760.0
